W[GeV],Theta[deg],dsigma[nb]
4.486,2.7625,0.87056
4.486,3.0267,0.86818
4.486,3.3648,0.86484
4.486,3.7504,0.86062
4.486,4.1625,0.85564
4.486,4.5857,0.85004
4.486,5.0085,0.84395
4.486,5.4224,0.83755
4.486,5.8206,0.83098
4.486,6.1975,0.8244
4.486,6.5489,0.81797
4.486,6.8708,0.81183
4.486,7.1604,0.80612
4.486,7.4148,0.80096
4.486,7.632,0.79644
4.486,7.8101,0.79267
4.486,7.9476,0.78972
4.486,8.0435,0.78764
4.486,8.097,0.78647
4.486,8.2342,0.78345
4.486,8.7435,0.77196
4.486,9.5812,0.75212
4.486,10.654,0.72529
4.486,11.879,0.69313
4.486,13.189,0.65746
4.486,14.536,0.62006
4.486,15.884,0.5825
4.486,17.205,0.54607
4.486,18.478,0.51176
4.486,19.685,0.48022
4.486,20.812,0.45187
4.486,21.847,0.42689
4.486,22.778,0.40533
4.486,23.598,0.38712
4.486,24.298,0.37215
4.486,24.873,0.36026
4.486,25.318,0.35133
4.486,25.628,0.34523
4.486,25.801,0.34187
4.486,26.245,0.33341
4.486,27.897,0.30388
4.486,30.627,0.26153
4.486,34.147,0.21761
4.486,38.201,0.17934
4.486,42.589,0.14905
4.486,47.165,0.12601
4.486,51.817,0.10849
4.486,56.461,0.09485
4.486,61.024,0.083955
4.486,65.445,0.075067
4.486,69.666,0.067736
4.486,73.63,0.061672
4.486,77.284,0.056679
4.486,80.574,0.052615
4.486,83.445,0.049366
4.486,85.848,0.046846
4.486,87.736,0.044985
4.486,89.071,0.043729
4.486,89.823,0.043043
4.486,90.098,0.042796
4.486,90.516,0.042424
4.486,91.257,0.041775
4.486,92.305,0.040882
4.486,93.636,0.039786
4.486,95.22,0.038537
4.486,97.024,0.037184
4.486,99.008,0.035778
4.486,101.13,0.034362
4.486,103.35,0.032977
4.486,105.61,0.031654
4.486,107.88,0.030419
4.486,110.09,0.02929
4.486,112.19,0.028283
4.486,114.14,0.027405
4.486,115.89,0.026663
4.486,117.37,0.026061
4.486,118.56,0.0256
4.486,119.41,0.025281
4.486,119.89,0.025104
4.486,120.11,0.025021
4.486,120.6,0.024846
4.486,121.46,0.02454
4.486,122.7,0.024117
4.486,124.29,0.023595
4.486,126.23,0.022997
4.486,128.48,0.022344
4.486,131.04,0.021659
4.486,133.87,0.020965
4.486,136.96,0.02028
4.486,140.28,0.019619
4.486,143.8,0.018996
4.486,147.5,0.018421
4.486,151.37,0.017902
4.486,155.37,0.017447
4.486,159.49,0.01706
4.486,163.69,0.016746
4.486,167.98,0.016508
4.486,172.3,0.016344
4.486,176.64,0.016253
4.536,0.047495,1.1191
4.536,0.10875,1.1191
4.536,0.16974,1.1191
4.536,0.22981,1.119
4.536,0.28857,1.1189
4.536,0.34565,1.1189
4.536,0.40072,1.1188
4.536,0.45343,1.1187
4.536,0.50349,1.1186
4.536,0.5506,1.1184
4.536,0.59448,1.1183
4.536,0.63487,1.1182
4.536,0.67154,1.1181
4.536,0.70427,1.118
4.536,0.73287,1.1179
4.536,0.75716,1.1178
4.536,0.77702,1.1178
4.536,0.79231,1.1177
4.536,0.80296,1.1177
4.536,0.8089,1.1176
4.536,0.82272,1.1176
4.536,0.87351,1.1174
4.536,0.95702,1.117
4.536,1.0639,1.1166
4.536,1.1858,1.1159
4.536,1.316,1.1152
4.536,1.4498,1.1144
4.536,1.5834,1.1134
4.536,1.7141,1.1125
4.536,1.8399,1.1115
4.536,1.959,1.1105
4.536,2.0699,1.1094
4.536,2.1716,1.1085
4.536,2.263,1.1076
4.536,2.3433,1.1067
4.536,2.4118,1.106
4.536,2.468,1.1054
4.536,2.5114,1.1049
4.536,2.5417,1.1046
4.536,2.5586,1.1044
4.536,2.6019,1.1039
4.536,2.7625,1.102
4.536,3.0267,1.0986
4.536,3.3648,1.0938
4.536,3.7504,1.0878
4.536,4.1625,1.0807
4.536,4.5857,1.0727
4.536,5.0085,1.064
4.536,5.4224,1.0549
4.536,5.8206,1.0456
4.536,6.1975,1.0363
4.536,6.5489,1.0272
4.536,6.8708,1.0185
4.536,7.1604,1.0104
4.536,7.4148,1.0031
4.536,7.632,0.99675
4.536,7.8101,0.99144
4.536,7.9476,0.98728
4.536,8.0435,0.98435
4.536,8.097,0.9827
4.536,8.2342,0.97846
4.536,8.7435,0.9623
4.536,9.5812,0.93451
4.536,10.654,0.89707
4.536,11.879,0.85247
4.536,13.189,0.80335
4.536,14.536,0.75226
4.536,15.884,0.70138
4.536,17.205,0.65249
4.536,18.478,0.60685
4.536,19.685,0.56528
4.536,20.812,0.52824
4.536,21.847,0.49588
4.536,22.778,0.46816
4.536,23.598,0.44492
4.536,24.298,0.42591
4.536,24.873,0.41091
4.536,25.318,0.39968
4.536,25.628,0.39204
4.536,25.801,0.38783
4.536,26.245,0.37727
4.536,27.897,0.34073
4.536,30.627,0.28921
4.536,34.147,0.23704
4.536,38.201,0.19278
4.536,42.589,0.15861
4.536,47.165,0.1331
4.536,51.817,0.1139
4.536,56.461,0.099048
4.536,61.024,0.087201
4.536,65.445,0.077554
4.536,69.666,0.069618
4.536,73.63,0.063077
4.536,77.284,0.057714
4.536,80.574,0.053366
4.536,83.445,0.049904
4.536,85.848,0.047229
4.536,87.736,0.045258
4.536,89.071,0.043932
4.536,89.823,0.043209
4.536,90.098,0.042948
4.536,90.516,0.042556
4.536,91.257,0.041874
4.536,92.305,0.040936
4.536,93.636,0.039787
4.536,95.22,0.038479
4.536,97.024,0.037068
4.536,99.008,0.035604
4.536,101.13,0.034135
4.536,103.35,0.032702
4.536,105.61,0.031338
4.536,107.88,0.030067
4.536,110.09,0.028909
4.536,112.19,0.027878
4.536,114.14,0.026981
4.536,115.89,0.026224
4.536,117.37,0.02561
4.536,118.56,0.025141
4.536,119.41,0.024816
4.536,119.89,0.024636
4.536,120.11,0.024552
4.536,120.6,0.024374
4.536,121.46,0.024064
4.536,122.7,0.023635
4.536,124.29,0.023106
4.536,126.23,0.022501
4.536,128.48,0.021842
4.536,131.04,0.021153
4.536,133.87,0.020456
4.536,136.96,0.019769
4.536,140.28,0.019109
4.536,143.8,0.018486
4.536,147.5,0.017911
4.536,151.37,0.017393
4.536,155.37,0.016937
4.536,159.49,0.016552
4.536,163.69,0.016241
4.536,167.98,0.016005
4.536,172.3,0.015845
4.536,176.64,0.015758
4.586,0.047495,1.3953
4.586,0.10875,1.3953
4.586,0.16974,1.3952
4.586,0.22981,1.3951
4.586,0.28857,1.395
4.586,0.34565,1.3949
4.586,0.40072,1.3948
4.586,0.45343,1.3946
4.586,0.50349,1.3945
4.586,0.5506,1.3943
4.586,0.59448,1.3942
4.586,0.63487,1.394
4.586,0.67154,1.3939
4.586,0.70427,1.3937
4.586,0.73287,1.3936
4.586,0.75716,1.3935
4.586,0.77702,1.3934
4.586,0.79231,1.3933
4.586,0.80296,1.3933
4.586,0.8089,1.3932
4.586,0.82272,1.3932
4.586,0.87351,1.3929
4.586,0.95702,1.3924
4.586,1.0639,1.3917
4.586,1.1858,1.3909
4.586,1.316,1.3898
4.586,1.4498,1.3887
4.586,1.5834,1.3874
4.586,1.7141,1.3861
4.586,1.8399,1.3847
4.586,1.959,1.3832
4.586,2.0699,1.3818
4.586,2.1716,1.3805
4.586,2.263,1.3792
4.586,2.3433,1.3781
4.586,2.4118,1.3771
4.586,2.468,1.3762
4.586,2.5114,1.3756
4.586,2.5417,1.3751
4.586,2.5586,1.3748
4.586,2.6019,1.3741
4.586,2.7625,1.3715
4.586,3.0267,1.3667
4.586,3.3648,1.3601
4.586,3.7504,1.3518
4.586,4.1625,1.342
4.586,4.5857,1.3309
4.586,5.0085,1.319
4.586,5.4224,1.3064
4.586,5.8206,1.2935
4.586,6.1975,1.2807
4.586,6.5489,1.2682
4.586,6.8708,1.2562
4.586,7.1604,1.2451
4.586,7.4148,1.2351
4.586,7.632,1.2264
4.586,7.8101,1.2192
4.586,7.9476,1.2135
4.586,8.0435,1.2095
4.586,8.097,1.2072
4.586,8.2342,1.2014
4.586,8.7435,1.1794
4.586,9.5812,1.1415
4.586,10.654,1.0908
4.586,11.879,1.0308
4.586,13.189,0.96511
4.586,14.536,0.89732
4.586,15.884,0.83041
4.586,17.205,0.76668
4.586,18.478,0.70772
4.586,19.685,0.65451
4.586,20.812,0.6075
4.586,21.847,0.56676
4.586,22.778,0.53213
4.586,23.598,0.50328
4.586,24.298,0.47984
4.586,24.873,0.46143
4.586,25.318,0.4477
4.586,25.628,0.43838
4.586,25.801,0.43327
4.586,26.245,0.42045
4.586,27.897,0.37644
4.586,30.627,0.31543
4.586,34.147,0.25502
4.586,38.201,0.20501
4.586,42.589,0.16724
4.586,47.165,0.13948
4.586,51.817,0.11876
4.586,56.461,0.10276
4.586,61.024,0.090002
4.586,65.445,0.079633
4.586,69.666,0.071127
4.586,73.63,0.064145
4.586,77.284,0.058443
4.586,80.574,0.05384
4.586,83.445,0.050189
4.586,85.848,0.047377
4.586,87.736,0.045313
4.586,89.071,0.043927
4.586,89.823,0.043172
4.586,90.098,0.0429
4.586,90.516,0.042492
4.586,91.257,0.041781
4.586,92.305,0.040805
4.586,93.636,0.039612
4.586,95.22,0.038258
4.586,97.024,0.036799
4.586,99.008,0.035291
4.586,101.13,0.033783
4.586,103.35,0.032315
4.586,105.61,0.030921
4.586,107.88,0.029626
4.586,110.09,0.028448
4.586,112.19,0.027401
4.586,114.14,0.026492
4.586,115.89,0.025725
4.586,117.37,0.025105
4.586,118.56,0.024631
4.586,119.41,0.024303
4.586,119.89,0.024121
4.586,120.11,0.024036
4.586,120.6,0.023857
4.586,121.46,0.023544
4.586,122.7,0.023112
4.586,124.29,0.022581
4.586,126.23,0.021973
4.586,128.48,0.021312
4.586,131.04,0.020624
4.586,133.87,0.019929
4.586,136.96,0.019245
4.586,140.28,0.018589
4.586,143.8,0.01797
4.586,147.5,0.017399
4.586,151.37,0.016883
4.586,155.37,0.016429
4.586,159.49,0.016046
4.586,163.69,0.015739
4.586,167.98,0.01551
4.586,172.3,0.015355
4.586,176.64,0.015272
4.636,0.047495,1.7137
4.636,0.10875,1.7137
4.636,0.16974,1.7136
4.636,0.22981,1.7135
4.636,0.28857,1.7134
4.636,0.34565,1.7132
4.636,0.40072,1.7131
4.636,0.45343,1.7129
4.636,0.50349,1.7127
4.636,0.5506,1.7125
4.636,0.59448,1.7122
4.636,0.63487,1.712
4.636,0.67154,1.7118
4.636,0.70427,1.7116
4.636,0.73287,1.7115
4.636,0.75716,1.7113
4.636,0.77702,1.7112
4.636,0.79231,1.7111
4.636,0.80296,1.711
4.636,0.8089,1.7109
4.636,0.82272,1.7109
4.636,0.87351,1.7105
4.636,0.95702,1.7098
4.636,1.0639,1.7089
4.636,1.1858,1.7077
4.636,1.316,1.7064
4.636,1.4498,1.7048
4.636,1.5834,1.7031
4.636,1.7141,1.7012
4.636,1.8399,1.6993
4.636,1.959,1.6974
4.636,2.0699,1.6955
4.636,2.1716,1.6937
4.636,2.263,1.692
4.636,2.3433,1.6904
4.636,2.4118,1.6891
4.636,2.468,1.6879
4.636,2.5114,1.687
4.636,2.5417,1.6864
4.636,2.5586,1.686
4.636,2.6019,1.6851
4.636,2.7625,1.6815
4.636,3.0267,1.6751
4.636,3.3648,1.6661
4.636,3.7504,1.6549
4.636,4.1625,1.6416
4.636,4.5857,1.6267
4.636,5.0085,1.6106
4.636,5.4224,1.5937
4.636,5.8206,1.5764
4.636,6.1975,1.5591
4.636,6.5489,1.5423
4.636,6.8708,1.5263
4.636,7.1604,1.5115
4.636,7.4148,1.4982
4.636,7.632,1.4865
4.636,7.8101,1.4768
4.636,7.9476,1.4692
4.636,8.0435,1.4639
4.636,8.097,1.4609
4.636,8.2342,1.4531
4.636,8.7435,1.4238
4.636,9.5812,1.3736
4.636,10.654,1.3067
4.636,11.879,1.2278
4.636,13.189,1.1422
4.636,14.536,1.0545
4.636,15.884,0.96867
4.636,17.205,0.88765
4.636,18.478,0.81337
4.636,19.685,0.74693
4.636,20.812,0.68872
4.636,21.847,0.63868
4.636,22.778,0.59646
4.636,23.598,0.56152
4.636,24.298,0.53329
4.636,24.873,0.51122
4.636,25.318,0.49483
4.636,25.628,0.48373
4.636,25.801,0.47765
4.636,26.245,0.46246
4.636,27.897,0.41069
4.636,30.627,0.34003
4.636,34.147,0.27155
4.636,38.201,0.21614
4.636,42.589,0.17509
4.636,47.165,0.14529
4.636,51.817,0.12315
4.636,56.461,0.10605
4.636,61.024,0.092425
4.636,65.445,0.081364
4.636,69.666,0.072323
4.636,73.63,0.064932
4.636,77.284,0.058924
4.636,80.574,0.054092
4.636,83.445,0.050275
4.636,85.848,0.047345
4.636,87.736,0.045199
4.636,89.071,0.043762
4.636,89.823,0.042981
4.636,90.098,0.042699
4.636,90.516,0.042277
4.636,91.257,0.041543
4.636,92.305,0.040536
4.636,93.636,0.039307
4.636,95.22,0.037916
4.636,97.024,0.036421
4.636,99.008,0.03488
4.636,101.13,0.033342
4.636,103.35,0.03185
4.636,105.61,0.030437
4.636,107.88,0.029127
4.636,110.09,0.027938
4.636,112.19,0.026882
4.636,114.14,0.025966
4.636,115.89,0.025194
4.636,117.37,0.02457
4.636,118.56,0.024094
4.636,119.41,0.023765
4.636,119.89,0.023582
4.636,120.11,0.023497
4.636,120.6,0.023317
4.636,121.46,0.023004
4.636,122.7,0.022571
4.636,124.29,0.022039
4.636,126.23,0.021431
4.636,128.48,0.020773
4.636,131.04,0.020088
4.636,133.87,0.019399
4.636,136.96,0.018723
4.636,140.28,0.018074
4.636,143.8,0.017462
4.636,147.5,0.016896
4.636,151.37,0.016383
4.636,155.37,0.015933
4.636,159.49,0.015553
4.636,163.69,0.015251
4.636,167.98,0.015029
4.636,172.3,0.014883
4.636,176.64,0.014805
4.686,0.047495,2.0769
4.686,0.10875,2.0769
4.686,0.16974,2.0768
4.686,0.22981,2.0766
4.686,0.28857,2.0765
4.686,0.34565,2.0763
4.686,0.40072,2.076
4.686,0.45343,2.0758
4.686,0.50349,2.0755
4.686,0.5506,2.0752
4.686,0.59448,2.0749
4.686,0.63487,2.0747
4.686,0.67154,2.0744
4.686,0.70427,2.0741
4.686,0.73287,2.0739
4.686,0.75716,2.0737
4.686,0.77702,2.0735
4.686,0.79231,2.0734
4.686,0.80296,2.0733
4.686,0.8089,2.0732
4.686,0.82272,2.0731
4.686,0.87351,2.0726
4.686,0.95702,2.0717
4.686,1.0639,2.0705
4.686,1.1858,2.069
4.686,1.316,2.0671
4.686,1.4498,2.065
4.686,1.5834,2.0628
4.686,1.7141,2.0603
4.686,1.8399,2.0578
4.686,1.959,2.0553
4.686,2.0699,2.0528
4.686,2.1716,2.0504
4.686,2.263,2.0481
4.686,2.3433,2.046
4.686,2.4118,2.0442
4.686,2.468,2.0427
4.686,2.5114,2.0415
4.686,2.5417,2.0406
4.686,2.5586,2.0402
4.686,2.6019,2.0389
4.686,2.7625,2.0341
4.686,3.0267,2.0257
4.686,3.3648,2.0139
4.686,3.7504,1.999
4.686,4.1625,1.9814
4.686,4.5857,1.9618
4.686,5.0085,1.9405
4.686,5.4224,1.9182
4.686,5.8206,1.8955
4.686,6.1975,1.8728
4.686,6.5489,1.8508
4.686,6.8708,1.8298
4.686,7.1604,1.8104
4.686,7.4148,1.7929
4.686,7.632,1.7777
4.686,7.8101,1.765
4.686,7.9476,1.7551
4.686,8.0435,1.7481
4.686,8.097,1.7442
4.686,8.2342,1.7341
4.686,8.7435,1.6959
4.686,9.5812,1.6308
4.686,10.654,1.5443
4.686,11.879,1.443
4.686,13.189,1.3338
4.686,14.536,1.2228
4.686,15.884,1.1151
4.686,17.205,1.0143
4.686,18.478,0.92273
4.686,19.685,0.84151
4.686,20.812,0.77097
4.686,21.847,0.7108
4.686,22.778,0.66038
4.686,23.598,0.61893
4.686,24.298,0.58563
4.686,24.873,0.55972
4.686,25.318,0.54055
4.686,25.628,0.52761
4.686,25.801,0.52053
4.686,26.245,0.50288
4.686,27.897,0.44317
4.686,30.627,0.3629
4.686,34.147,0.28667
4.686,38.201,0.22625
4.686,42.589,0.18225
4.686,47.165,0.1506
4.686,51.817,0.12713
4.686,56.461,0.10898
4.686,61.024,0.094509
4.686,65.445,0.082788
4.686,69.666,0.073244
4.686,73.63,0.065479
4.686,77.284,0.059194
4.686,80.574,0.05416
4.686,83.445,0.050198
4.686,85.848,0.047165
4.686,87.736,0.044951
4.686,89.071,0.043471
4.686,89.823,0.042668
4.686,90.098,0.042378
4.686,90.516,0.041945
4.686,91.257,0.041192
4.686,92.305,0.04016
4.686,93.636,0.038903
4.686,95.22,0.037483
4.686,97.024,0.035961
4.686,99.008,0.034396
4.686,101.13,0.032839
4.686,103.35,0.031333
4.686,105.61,0.02991
4.686,107.88,0.028592
4.686,110.09,0.027398
4.686,112.19,0.026338
4.686,114.14,0.02542
4.686,115.89,0.024647
4.686,117.37,0.024022
4.686,118.56,0.023546
4.686,119.41,0.023216
4.686,119.89,0.023034
4.686,120.11,0.022948
4.686,120.6,0.022769
4.686,121.46,0.022455
4.686,122.7,0.022023
4.686,124.29,0.021493
4.686,126.23,0.020888
4.686,128.48,0.020235
4.686,131.04,0.019556
4.686,133.87,0.018876
4.686,136.96,0.01821
4.686,140.28,0.017571
4.686,143.8,0.016969
4.686,147.5,0.016409
4.686,151.37,0.0159
4.686,155.37,0.015451
4.686,159.49,0.015075
4.686,163.69,0.01478
4.686,167.98,0.014567
4.686,172.3,0.01443
4.686,176.64,0.01436
4.736,0.047495,2.487
4.736,0.10875,2.4869
4.736,0.16974,2.4868
4.736,0.22981,2.4866
4.736,0.28857,2.4864
4.736,0.34565,2.4861
4.736,0.40072,2.4858
4.736,0.45343,2.4855
4.736,0.50349,2.4851
4.736,0.5506,2.4848
4.736,0.59448,2.4844
4.736,0.63487,2.484
4.736,0.67154,2.4837
4.736,0.70427,2.4833
4.736,0.73287,2.483
4.736,0.75716,2.4828
4.736,0.77702,2.4825
4.736,0.79231,2.4824
4.736,0.80296,2.4822
4.736,0.8089,2.4822
4.736,0.82272,2.482
4.736,0.87351,2.4814
4.736,0.95702,2.4802
4.736,1.0639,2.4786
4.736,1.1858,2.4766
4.736,1.316,2.4742
4.736,1.4498,2.4715
4.736,1.5834,2.4685
4.736,1.7141,2.4654
4.736,1.8399,2.4621
4.736,1.959,2.4588
4.736,2.0699,2.4556
4.736,2.1716,2.4524
4.736,2.263,2.4495
4.736,2.3433,2.4468
4.736,2.4118,2.4444
4.736,2.468,2.4424
4.736,2.5114,2.4409
4.736,2.5417,2.4398
4.736,2.5586,2.4392
4.736,2.6019,2.4375
4.736,2.7625,2.4313
4.736,3.0267,2.4204
4.736,3.3648,2.405
4.736,3.7504,2.3857
4.736,4.1625,2.3629
4.736,4.5857,2.3375
4.736,5.0085,2.31
4.736,5.4224,2.2812
4.736,5.8206,2.2518
4.736,6.1975,2.2226
4.736,6.5489,2.1942
4.736,6.8708,2.1673
4.736,7.1604,2.1423
4.736,7.4148,2.1199
4.736,7.632,2.1003
4.736,7.8101,2.0841
4.736,7.9476,2.0714
4.736,8.0435,2.0625
4.736,8.097,2.0575
4.736,8.2342,2.0446
4.736,8.7435,1.9958
4.736,9.5812,1.9129
4.736,10.654,1.8031
4.736,11.879,1.6755
4.736,13.189,1.5388
4.736,14.536,1.401
4.736,15.884,1.2684
4.736,17.205,1.1454
4.736,18.478,1.0346
4.736,19.685,0.93722
4.736,20.812,0.8533
4.736,21.847,0.78227
4.736,22.778,0.72317
4.736,23.598,0.67489
4.736,24.298,0.63631
4.736,24.873,0.60643
4.736,25.318,0.5844
4.736,25.628,0.56956
4.736,25.801,0.56147
4.736,26.245,0.54131
4.736,27.897,0.47364
4.736,30.627,0.38396
4.736,34.147,0.30038
4.736,38.201,0.23541
4.736,42.589,0.18877
4.736,47.165,0.15545
4.736,51.817,0.13072
4.736,56.461,0.11156
4.736,61.024,0.09627
4.736,65.445,0.08392
4.736,69.666,0.07391
4.736,73.63,0.065807
4.736,77.284,0.059278
4.736,80.574,0.054067
4.736,83.445,0.049979
4.736,85.848,0.04686
4.736,87.736,0.044589
4.736,89.071,0.043074
4.736,89.823,0.042252
4.736,90.098,0.041956
4.736,90.516,0.041514
4.736,91.257,0.040745
4.736,92.305,0.039694
4.736,93.636,0.038416
4.736,95.22,0.036975
4.736,97.024,0.035434
4.736,99.008,0.033855
4.736,101.13,0.032288
4.736,103.35,0.030776
4.736,105.61,0.02935
4.736,107.88,0.028032
4.736,110.09,0.026839
4.736,112.19,0.02578
4.736,114.14,0.024863
4.736,115.89,0.024091
4.736,117.37,0.023468
4.736,118.56,0.022992
4.736,119.41,0.022663
4.736,119.89,0.022481
4.736,120.11,0.022396
4.736,120.6,0.022217
4.736,121.46,0.021905
4.736,122.7,0.021474
4.736,124.29,0.020947
4.736,126.23,0.020347
4.736,128.48,0.0197
4.736,131.04,0.019031
4.736,133.87,0.018361
4.736,136.96,0.017708
4.736,140.28,0.017082
4.736,143.8,0.01649
4.736,147.5,0.015937
4.736,151.37,0.015432
4.736,155.37,0.014986
4.736,159.49,0.014613
4.736,163.69,0.014325
4.736,167.98,0.014123
4.736,172.3,0.013998
4.736,176.64,0.013937
4.786,0.047495,2.9458
4.786,0.10875,2.9457
4.786,0.16974,2.9456
4.786,0.22981,2.9454
4.786,0.28857,2.9451
4.786,0.34565,2.9447
4.786,0.40072,2.9443
4.786,0.45343,2.9439
4.786,0.50349,2.9434
4.786,0.5506,2.943
4.786,0.59448,2.9425
4.786,0.63487,2.942
4.786,0.67154,2.9416
4.786,0.70427,2.9412
4.786,0.73287,2.9408
4.786,0.75716,2.9404
4.786,0.77702,2.9401
4.786,0.79231,2.9399
4.786,0.80296,2.9397
4.786,0.8089,2.9397
4.786,0.82272,2.9394
4.786,0.87351,2.9386
4.786,0.95702,2.9372
4.786,1.0639,2.9352
4.786,1.1858,2.9326
4.786,1.316,2.9295
4.786,1.4498,2.926
4.786,1.5834,2.9222
4.786,1.7141,2.9182
4.786,1.8399,2.914
4.786,1.959,2.9098
4.786,2.0699,2.9056
4.786,2.1716,2.9016
4.786,2.263,2.8978
4.786,2.3433,2.8944
4.786,2.4118,2.8914
4.786,2.468,2.8889
4.786,2.5114,2.8869
4.786,2.5417,2.8854
4.786,2.5586,2.8847
4.786,2.6019,2.8826
4.786,2.7625,2.8747
4.786,3.0267,2.8607
4.786,3.3648,2.841
4.786,3.7504,2.8164
4.786,4.1625,2.7874
4.786,4.5857,2.755
4.786,5.0085,2.72
4.786,5.4224,2.6834
4.786,5.8206,2.6461
4.786,6.1975,2.6091
4.786,6.5489,2.5731
4.786,6.8708,2.539
4.786,7.1604,2.5075
4.786,7.4148,2.4792
4.786,7.632,2.4545
4.786,7.8101,2.4341
4.786,7.9476,2.4181
4.786,8.0435,2.4069
4.786,8.097,2.4006
4.786,8.2342,2.3843
4.786,8.7435,2.3231
4.786,9.5812,2.2192
4.786,10.654,2.0825
4.786,11.879,1.9243
4.786,13.189,1.7561
4.786,14.536,1.5879
4.786,15.884,1.4274
4.786,17.205,1.2798
4.786,18.478,1.148
4.786,19.685,1.033
4.786,20.812,0.93483
4.786,21.847,0.85233
4.786,22.778,0.78417
4.786,23.598,0.72882
4.786,24.298,0.68482
4.786,24.873,0.6509
4.786,25.318,0.62597
4.786,25.628,0.60923
4.786,25.801,0.60011
4.786,26.245,0.57746
4.786,27.897,0.50189
4.786,30.627,0.40313
4.786,34.147,0.31273
4.786,38.201,0.24368
4.786,42.589,0.19471
4.786,47.165,0.15986
4.786,51.817,0.13395
4.786,56.461,0.11379
4.786,61.024,0.097715
4.786,65.445,0.084771
4.786,69.666,0.074336
4.786,73.63,0.065933
4.786,77.284,0.059191
4.786,80.574,0.05383
4.786,83.445,0.049637
4.786,85.848,0.046445
4.786,87.736,0.044127
4.786,89.071,0.042584
4.786,89.823,0.041748
4.786,90.098,0.041448
4.786,90.516,0.040998
4.786,91.257,0.040218
4.786,92.305,0.039152
4.786,93.636,0.037858
4.786,95.22,0.036403
4.786,97.024,0.034852
4.786,99.008,0.033266
4.786,101.13,0.031697
4.786,103.35,0.030186
4.786,105.61,0.028765
4.786,107.88,0.027453
4.786,110.09,0.026265
4.786,112.19,0.025212
4.786,114.14,0.024299
4.786,115.89,0.02353
4.786,117.37,0.022909
4.786,118.56,0.022436
4.786,119.41,0.022109
4.786,119.89,0.021927
4.786,120.11,0.021843
4.786,120.6,0.021665
4.786,121.46,0.021354
4.786,122.7,0.020926
4.786,124.29,0.020403
4.786,126.23,0.019809
4.786,128.48,0.01917
4.786,131.04,0.018512
4.786,133.87,0.017856
4.786,136.96,0.017218
4.786,140.28,0.016606
4.786,143.8,0.016026
4.786,147.5,0.01548
4.786,151.37,0.014978
4.786,155.37,0.014533
4.786,159.49,0.014164
4.786,163.69,0.013884
4.786,167.98,0.013695
4.786,172.3,0.013585
4.786,176.64,0.013534
4.836,0.047495,3.4552
4.836,0.10875,3.4551
4.836,0.16974,3.4549
4.836,0.22981,3.4546
4.836,0.28857,3.4542
4.836,0.34565,3.4538
4.836,0.40072,3.4533
4.836,0.45343,3.4528
4.836,0.50349,3.4522
4.836,0.5506,3.4516
4.836,0.59448,3.451
4.836,0.63487,3.4504
4.836,0.67154,3.4499
4.836,0.70427,3.4493
4.836,0.73287,3.4488
4.836,0.75716,3.4484
4.836,0.77702,3.448
4.836,0.79231,3.4477
4.836,0.80296,3.4475
4.836,0.8089,3.4474
4.836,0.82272,3.4472
4.836,0.87351,3.4461
4.836,0.95702,3.4443
4.836,1.0639,3.4417
4.836,1.1858,3.4385
4.836,1.316,3.4346
4.836,1.4498,3.4302
4.836,1.5834,3.4254
4.836,1.7141,3.4203
4.836,1.8399,3.4151
4.836,1.959,3.4098
4.836,2.0699,3.4045
4.836,2.1716,3.3995
4.836,2.263,3.3947
4.836,2.3433,3.3904
4.836,2.4118,3.3866
4.836,2.468,3.3834
4.836,2.5114,3.3809
4.836,2.5417,3.3791
4.836,2.5586,3.3781
4.836,2.6019,3.3755
4.836,2.7625,3.3655
4.836,3.0267,3.3479
4.836,3.3648,3.3232
4.836,3.7504,3.2922
4.836,4.1625,3.2558
4.836,4.5857,3.2151
4.836,5.0085,3.1713
4.836,5.4224,3.1255
4.836,5.8206,3.0789
4.836,6.1975,3.0326
4.836,6.5489,2.9877
4.836,6.8708,2.9452
4.836,7.1604,2.906
4.836,7.4148,2.8708
4.836,7.632,2.8402
4.836,7.8101,2.8148
4.836,7.9476,2.795
4.836,8.0435,2.781
4.836,8.097,2.7732
4.836,8.2342,2.7531
4.836,8.7435,2.6773
4.836,9.5812,2.5492
4.836,10.654,2.3813
4.836,11.879,2.1883
4.836,13.189,1.9844
4.836,14.536,1.7822
4.836,15.884,1.5907
4.836,17.205,1.4162
4.836,18.478,1.2617
4.836,19.685,1.1281
4.836,20.812,1.0148
4.836,21.847,0.92035
4.836,22.778,0.84284
4.836,23.598,0.78027
4.836,24.298,0.7308
4.836,24.873,0.69281
4.836,25.318,0.66499
4.836,25.628,0.64636
4.836,25.801,0.63622
4.836,26.245,0.61109
4.836,27.897,0.52783
4.836,30.627,0.42044
4.836,34.147,0.32378
4.836,38.201,0.25112
4.836,42.589,0.20011
4.836,47.165,0.16387
4.836,51.817,0.13681
4.836,56.461,0.1157
4.836,61.024,0.098857
4.836,65.445,0.085358
4.836,69.666,0.07454
4.836,73.63,0.065876
4.836,77.284,0.058954
4.836,80.574,0.053468
4.836,83.445,0.049187
4.836,85.848,0.045937
4.836,87.736,0.043581
4.836,89.071,0.042016
4.836,89.823,0.04117
4.836,90.098,0.040865
4.836,90.516,0.040411
4.836,91.257,0.039622
4.836,92.305,0.038546
4.836,93.636,0.037243
4.836,95.22,0.03578
4.836,97.024,0.034224
