	Beam Energy [GeV]	-t [GeV**2]	dsigma/dt [nb/GeV**2]
249	18.0	0.0868181	13.3479
479	17.036144578313255	0.09893356947791164	10.45011139075303
480	17.084337349397593	0.09893356947791164	10.44930384356502
481	17.132530120481928	0.09893356947791164	10.448496296377009
482	17.180722891566266	0.09893356947791164	10.447688749188998
483	17.228915662650603	0.09893356947791164	10.446881202000988
484	17.277108433734938	0.09893356947791164	10.446073654812977
485	17.325301204819276	0.09893356947791164	10.445266107624965
486	17.373493975903614	0.09893356947791164	10.444458560436955
487	17.42168674698795	0.09893356947791164	10.443651013248944
488	17.46987951807229	0.09893356947791164	10.442843466060934
489	17.518072289156628	0.09893356947791164	10.442035918872923
490	17.566265060240966	0.09893356947791164	10.441228371684913
491	17.614457831325304	0.09893356947791164	10.440420824496902
492	17.66265060240964	0.09893356947791164	10.43961327730889
493	17.710843373493976	0.09893356947791164	10.438805730120881
494	17.759036144578314	0.09893356947791164	10.45170054446213
495	17.80722891566265	0.09893356947791164	10.472087078735598
496	17.855421686746986	0.09893356947791164	10.492473613009068
497	17.903614457831324	0.09893356947791164	10.512860147282538
498	17.951807228915662	0.09893356947791164	10.53324668155601
499	18.0	0.09893356947791164	10.553633215829478
709	16.072289156626507	0.11104903895582328	7.552322781506059
710	16.12048192771084	0.11104903895582328	7.570301472567175
711	16.16867469879518	0.11104903895582328	7.5906880068406455
712	16.216867469879517	0.11104903895582328	7.6110745411141165
713	16.265060240963855	0.11104903895582328	7.631461075387586
714	16.313253012048193	0.11104903895582328	7.651847609661058
715	16.36144578313253	0.11104903895582328	7.672234143934528
716	16.40963855421687	0.11104903895582328	7.692620678207998
717	16.457831325301207	0.11104903895582328	7.713007212481469
718	16.506024096385545	0.11104903895582328	7.733393746754938
719	16.55421686746988	0.11104903895582328	7.753780281028408
720	16.602409638554217	0.11104903895582328	7.774166815301879
721	16.650602409638555	0.11104903895582328	7.794553349575349
722	16.69879518072289	0.11104903895582328	7.814939883848818
723	16.746987951807228	0.11104903895582328	7.835326418122288
724	16.795180722891565	0.11104903895582328	7.855712952395759
725	16.843373493975903	0.11104903895582328	7.876099486669229
726	16.89156626506024	0.11104903895582328	7.8964860209426995
727	16.93975903614458	0.11104903895582328	7.9168725552161705
728	16.987951807228917	0.11104903895582328	7.9372590894896415
729	17.036144578313255	0.11104903895582328	7.957645623763112
730	17.084337349397593	0.11104903895582328	7.978032158036582
731	17.132530120481928	0.11104903895582328	7.998418692310051
732	17.180722891566266	0.11104903895582328	8.01880522658352
733	17.228915662650603	0.11104903895582328	8.039191760856992
734	17.277108433734938	0.11104903895582328	8.05957829513046
735	17.325301204819276	0.11104903895582328	8.079964829403933
736	17.373493975903614	0.11104903895582328	8.100351363677401
737	17.42168674698795	0.11104903895582328	8.120737897950873
738	17.46987951807229	0.11104903895582328	8.141124432224343
739	17.518072289156628	0.11104903895582328	8.161510966497813
740	17.566265060240966	0.11104903895582328	8.181897500771283
741	17.614457831325304	0.11104903895582328	8.202284035044755
742	17.66265060240964	0.11104903895582328	8.222670569318225
743	17.710843373493976	0.11104903895582328	8.243057103591694
744	17.759036144578314	0.11104903895582328	8.263443637865164
745	17.80722891566265	0.11104903895582328	8.283830172138634
746	17.855421686746986	0.11104903895582328	8.304216706412104
747	17.903614457831324	0.11104903895582328	8.324603240685574
748	17.951807228915662	0.11104903895582328	8.344989774959044
749	18.0	0.11104903895582328	8.365376309232515
946	15.44578313253012	0.12316450843373494	6.218912850521605
947	15.493975903614459	0.12316450843373494	6.197221868211329
948	15.542168674698795	0.12316450843373494	6.175530885901054
949	15.590361445783133	0.12316450843373494	6.153839903590779
950	15.63855421686747	0.12316450843373494	6.1321489212805025
951	15.686746987951807	0.12316450843373494	6.110457938970228
952	15.734939759036145	0.12316450843373494	6.088766956659951
953	15.783132530120483	0.12316450843373494	6.070260277822964
954	15.831325301204819	0.12316450843373494	6.06903678202273
955	15.879518072289157	0.12316450843373494	6.067813286222493
956	15.927710843373495	0.12316450843373494	6.066589790422258
957	15.975903614457831	0.12316450843373494	6.065366294622022
958	16.02409638554217	0.12316450843373494	6.071515326167763
959	16.072289156626507	0.12316450843373494	6.085036885059481
960	16.12048192771084	0.12316450843373494	6.098558443951199
961	16.16867469879518	0.12316450843373494	6.112080002842918
962	16.216867469879517	0.12316450843373494	6.125601561734635
963	16.265060240963855	0.12316450843373494	6.139123120626355
964	16.313253012048193	0.12316450843373494	6.152644679518073
965	16.36144578313253	0.12316450843373494	6.166166238409791
966	16.40963855421687	0.12316450843373494	6.17968779730151
967	16.457831325301207	0.12316450843373494	6.193209356193228
968	16.506024096385545	0.12316450843373494	6.206730915084947
969	16.55421686746988	0.12316450843373494	6.220252473976664
970	16.602409638554217	0.12316450843373494	6.233774032868382
971	16.650602409638555	0.12316450843373494	6.249273575578754
972	16.69879518072289	0.12316450843373494	6.26894470532628
973	16.746987951807228	0.12316450843373494	6.288615835073809
974	16.795180722891565	0.12316450843373494	6.308286964821336
975	16.843373493975903	0.12316450843373494	6.327958094568865
976	16.89156626506024	0.12316450843373494	6.3476292243163925
977	16.93975903614458	0.12316450843373494	6.367300354063921
978	16.987951807228917	0.12316450843373494	6.386971483811449
979	17.036144578313255	0.12316450843373494	6.406642613558978
980	17.084337349397593	0.12316450843373494	6.426313743306505
981	17.132530120481928	0.12316450843373494	6.445984873054032
982	17.180722891566266	0.12316450843373494	6.465656002801559
983	17.228915662650603	0.12316450843373494	6.485327132549088
984	17.277108433734938	0.12316450843373494	6.504998262296614
